,weather,winemaking_quality,wine_quality
0,4.498589328057615,4.461054805479392,5.818277977836557
1,5.705641130477195,8.382102608585551,5.541038451676825
2,6.717528871292618,9.352795716127027,6.119627487344031
3,5.441161809807756,8.667803880583236,5.487183380635541
4,5.268344553644797,7.412723175589489,6.078143392941295
5,4.53629717043113,8.808228621864307,4.876096858256862
6,4.687551623710128,5.638259264161212,6.816333029411224
7,4.63492492937074,7.626666681081956,5.2204330044973
8,3.7064102044525638,7.093783137992392,5.38074884806567
9,4.697188685841202,8.71643375930616,4.907966478463779
10,4.570004484149947,6.2853176074246235,5.082470850957509
11,4.509588466682593,6.57711908782463,5.212684027352683
12,4.717520601936499,7.153808254927881,5.144258509910875
13,5.475760461789185,9.553733591283915,6.662308932180891
14,6.17017983608376,6.347337712372395,7.464827585323203
15,6.132265911293663,8.4700382529209,6.684024027561133
16,5.37936226342144,6.035713948269844,6.225844394909505
17,4.595966773724929,8.90823933497204,5.034314818898639
18,4.2398314169580775,9.486885603366833,4.509520833332848
19,6.036177227085224,6.768940113334924,6.482712082253351
20,5.819841161243573,8.258659423648181,5.730524772938006
21,3.6747578883722336,5.175372109583826,4.820165101565509
22,4.614169617711099,5.6956236631213635,6.823215690271456
23,4.446951107387873,6.318727612067766,6.460005906721315
24,3.632971639839062,7.427183037110108,5.493701882156832
25,4.118092561447561,5.675974321528819,5.3960080985068
26,4.392245436375948,7.834210221126541,5.128921768624315
27,3.68422889277395,7.297582128171783,4.616062696045303
28,6.81719159424302,8.381927741467374,7.552302995986659
29,3.7937808298915088,6.395641533088677,5.1985547212762855
30,5.693381353876409,7.289096512982626,5.466963360376152
31,5.590203894521647,7.210582490440414,5.482416252259823
32,6.860478560471111,8.211334983310712,6.517856807094614
33,3.8501570897631394,8.02847939814048,4.429140825021494
34,4.754464459217336,6.420430878919856,5.892560938010316
35,4.861357478577635,6.523408622794932,5.379228451770191
36,6.021917435500623,7.9706193075359515,6.2412456060545
37,3.288825737116081,3.9192409900245915,5.4492246005768905
38,4.134695266301587,6.732172039838169,4.822246258364927
39,4.0104670221046455,6.453467404132037,5.2798591787676274
40,4.730861211855547,7.925717103794834,5.325405267002908
41,5.035387651900935,7.482814138350108,6.0272640342009
42,4.056340141858019,6.750568445388406,5.181523550540134
43,5.45066427180387,8.26500720882698,5.623794802159245
44,4.608664419559601,5.127807988219828,5.555151039134293
45,4.827859143285019,5.6030453696273534,5.028513495800091
46,5.905078058971782,6.019916602053463,6.666817952414838
47,6.889656274724166,8.788949023451243,6.415655101474986
48,4.772406114418827,6.9638317806072765,6.120051924962523
49,4.656886562958909,8.266851058937084,5.518874023519267
50,5.7603120310242435,7.052084583120629,6.751025177544999
51,4.335080690795896,7.84000421159595,4.977503217969428
52,6.064970236588449,6.169466945383546,6.027261187628079
53,3.57642317073192,5.373964266199852,5.26395836148416
54,4.906006762232699,7.12169783594802,5.979946723301643
55,5.6812090590775455,9.062756003164342,5.168653791517514
56,6.215240695126981,6.0074188601240355,6.3405764687401405
57,2.7874291434704386,5.043377930237161,5.25666716018611
58,4.985993764246278,6.591269906027067,6.521818150273413
59,4.442586857426497,6.498320283255158,5.023695857481891
60,3.9877862186858204,5.560683465762493,5.794250543553235
61,6.335540696147632,6.638559064318168,5.833864822084784
62,4.359222749429656,5.874082561661614,6.515303214878968
63,3.879491310827058,6.415131434773641,5.130021619066224
64,6.3299971460901645,4.885185112263622,6.6806990014136085
65,5.428417619412022,9.363030474093279,5.475187759073659
66,4.686674164795636,7.834789834485326,5.76271860560876
67,5.912025361907705,7.456275181840856,6.435461240777446
68,5.601862122320294,7.381539170433294,5.800013288188761
69,5.540565954349455,6.521918216021796,6.034371552520741
70,5.516639930842231,8.042421127365266,6.117027067466492
71,5.619278002715857,6.644305835184354,6.045180764492274
72,3.9102640998829052,7.071797954535934,4.89905635783281
73,4.835806571091386,8.633677159361152,5.158685654081821
74,4.633381405437726,6.953486899538692,6.071837210692697
75,4.1577612900331165,7.9927191390164385,5.437621565520928
76,6.369082422577646,8.430615417078588,6.296454084953751
77,4.301332278601614,5.775298132841897,6.206288502160042
78,5.098098160321156,7.488284774935182,6.088462876730474
79,4.470492787985791,8.20977551360641,5.26772300744379
80,5.613710153661852,8.500325549888082,5.298778354082369
81,4.727137774208807,6.406685522057328,5.510061453081255
82,3.900387727207584,2.623926450501263,6.265406553005455
83,3.44485553933801,7.613765945048747,4.9991473997911005
84,4.916201012277876,7.524293404076185,5.901101273449668
85,3.769662198646867,6.734622691837913,6.35212861289621
86,4.008359252391322,7.371736466368589,4.511201842521864
87,5.4587191994186695,7.551368340248386,6.54298364047945
88,5.259276033792987,6.936836546617592,6.43482442416533
89,4.519943743275513,7.203349514104046,5.288986192239005
90,5.049799923762636,7.198219789047027,5.652297261825702
91,5.040608641534964,6.634825010431108,5.653054621489007
92,6.029952880495992,7.297033328156409,6.817891202179782
93,6.972934071014256,8.13324390518776,6.771397227491435
